City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Hobart,AU,71.01,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
13,Busselton,AU,70.0,overcast clouds,-33.65,115.3333,Observatory Guest House
31,Sur,OM,73.0,clear sky,22.5667,59.5289,Sur Plaza Hotel
42,New Norfolk,AU,71.01,broken clouds,-42.7826,147.0587,The Shingles Riverside Cottages
50,Richards Bay,ZA,71.19,few clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
54,Mar Del Plata,AR,71.01,moderate rain,-38.0023,-57.5575,Gran Hotel Mar del Plata
80,Inhambane,MZ,71.47,clear sky,-23.865,35.3833,Oceano
87,Itacarambi,BR,72.07,clear sky,-15.1022,-44.0919,POUSADA CAMALEÃO
93,Gushikawa,JP,73.4,few clouds,26.3544,127.8686,Kirari Guest House
96,Hilo,US,71.6,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
98,Sungaipenuh,ID,72.34,overcast clouds,-2.0833,101.3833,Hotel Jaya Wisata 2
108,Cidreira,BR,73.62,clear sky,-30.1811,-50.2056,Hotel Castelo
109,Bandarbeyla,SO,74.46,broken clouds,9.4942,50.8122,JABIR HOTEL
114,Arraial Do Cabo,BR,73.81,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
119,Goure,NE,72.27,clear sky,13.9835,10.2704,
123,Ilhabela,BR,73.31,overcast clouds,-23.7781,-45.3581,Ilha Flat Hotel
126,Necochea,AR,70.0,moderate rain,-38.5473,-58.7368,dyd -mar Hotel
141,Jamtara,IN,73.4,mist,23.95,86.8,Hotel devoshree
174,Esmeraldas,BR,71.6,clear sky,-19.7625,-44.3139,Forasteiro Pousada - Hotel
184,San Felipe,VE,72.59,overcast clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
203,Sabha,LY,70.12,scattered clouds,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
208,Airai,TL,72.36,broken clouds,-8.9266,125.4092,Juvinal Martin
221,Whitianga,NZ,72.0,clear sky,-36.8333,175.7,Beachside Resort Whitianga
223,Ishigaki,JP,71.6,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
230,Ngunguru,NZ,70.0,clear sky,-35.6167,174.5,Pacific Rendezvous Motel Resort
246,Salalah,OM,71.6,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
265,Bangalore,IN,73.4,mist,12.9762,77.6033,The Chancery Hotel
269,Bosaso,SO,73.22,scattered clouds,11.2842,49.1816,Red Sea Hotel
272,Imbituba,BR,73.4,scattered clouds,-28.24,-48.6703,Praia Hotel Imbituba
