City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Punta Arenas,CL,-53.15,-70.9167,39.2,81,40,8.05,scattered clouds
1,Qaanaaq,GL,77.484,-69.3632,-12.69,64,0,7.9,clear sky
2,Octeville,FR,49.6261,-1.6435,39.99,69,90,2.3,overcast clouds
3,College,US,64.8569,-147.8028,17.01,85,75,1.39,broken clouds
4,Severodvinsk,RU,64.5635,39.8302,-9.4,77,0,4.47,clear sky
5,Hobart,AU,-42.8794,147.3294,71.01,59,75,10.36,broken clouds
6,Mataura,NZ,-46.1927,168.8643,55.99,85,100,11.01,overcast clouds
7,Atuona,PF,-9.8,-139.0333,79.66,76,29,13.27,scattered clouds
8,Kloulklubed,PW,7.0419,134.2556,80.6,89,90,6.91,moderate rain
9,Kuusamo,FI,65.9667,29.1833,-9.4,77,90,1.14,light snow
10,Tasiilaq,GL,65.6145,-37.6368,33.8,100,90,35.68,snow
11,Ribeira Grande,PT,38.5167,-28.7,61.45,89,67,11.32,broken clouds
12,Georgetown,MY,5.4112,100.3354,87.01,74,20,3.44,few clouds
13,Busselton,AU,-33.65,115.3333,70.0,77,95,4.0,overcast clouds
14,Kavieng,PG,-2.5744,150.7967,82.09,79,100,11.03,moderate rain
15,Port Alfred,ZA,-33.5906,26.891,66.99,88,29,10.89,scattered clouds
16,Chapais,CA,49.7834,-74.8492,-2.2,78,1,2.77,clear sky
17,Itarema,BR,-2.9248,-39.9167,77.65,88,100,9.48,overcast clouds
18,Dingle,PH,10.9995,122.6711,83.91,68,100,13.4,light rain
19,Agadez,NE,19.75,10.25,69.87,22,30,6.11,scattered clouds
20,Avarua,CK,-21.2078,-159.775,84.2,79,20,5.75,light rain
21,Makat,KZ,47.6469,53.3463,26.17,86,11,12.19,few clouds
22,Luderitz,NA,-26.6481,15.1594,64.06,70,0,13.33,clear sky
23,Severo-Kurilsk,RU,50.6789,156.125,17.26,91,99,28.68,light snow
24,Cherskiy,RU,68.75,161.3,-15.72,87,100,6.33,overcast clouds
25,Saint-Pierre,RE,-21.3393,55.4781,77.0,78,8,8.05,clear sky
26,Pangody,RU,65.85,74.4859,-5.3,92,100,8.14,light snow
27,Rikitea,PF,-23.1203,-134.9692,80.02,82,100,18.99,moderate rain
28,Douglas,US,41.3,-96.167,59.0,41,1,6.91,clear sky
29,Hofn,IS,64.2539,-15.2082,38.57,73,100,10.04,overcast clouds
30,Tyret Pervaya,RU,53.6703,102.3106,17.96,91,87,7.63,overcast clouds
31,Sur,OM,22.5667,59.5289,73.0,55,0,1.34,clear sky
32,Yellowknife,CA,62.456,-114.3525,5.0,66,20,12.66,snow
33,Villalba,PR,18.1272,-66.4921,77.0,84,4,1.01,clear sky
34,Grindavik,IS,63.8424,-22.4338,41.0,100,90,28.77,heavy intensity rain
35,Fortuna,US,40.5982,-124.1573,48.0,81,20,5.75,few clouds
