City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Port Blair,IN,2021-03-06 08:40:41,11.6667,92.75,86.0,70,40,10.36
1,Ushuaia,AR,2021-03-06 08:40:41,-54.8,-68.3,50.0,81,75,4.61
2,Nikolskoye,RU,2021-03-06 08:40:42,59.7035,30.7861,28.0,68,0,11.18
3,Thompson,CA,2021-03-06 08:40:42,55.7435,-97.8558,5.0,85,1,6.91
4,Salym,RU,2021-03-06 08:40:42,60.0625,71.4789,21.78,96,100,7.2
5,Kushiro,JP,2021-03-06 08:40:43,42.975,144.3747,19.4,68,75,14.97
6,New Norfolk,AU,2021-03-06 08:40:43,-42.7826,147.0587,57.2,62,75,12.66
7,Leningradskiy,RU,2021-03-06 08:40:43,69.3833,178.4167,-9.11,88,99,4.63
8,Vaini,TO,2021-03-06 08:40:44,-21.2,-175.2,80.6,89,75,6.91
9,Maues,BR,2021-03-06 08:40:44,-3.3836,-57.7186,72.07,96,97,1.34
10,East London,ZA,2021-03-06 08:40:44,-33.0153,27.9116,75.2,69,75,14.97
11,Coquimbo,CL,2021-03-06 08:39:47,-29.9533,-71.3436,60.8,94,40,2.3
12,Westerland,DE,2021-03-06 08:40:45,54.9079,8.3033,41.0,87,76,14.97
13,Torbay,CA,2021-03-06 08:40:45,47.6666,-52.7314,32.0,93,90,8.05
14,Avarua,CK,2021-03-06 08:40:45,-21.2078,-159.775,82.4,74,20,12.66
15,Ostrovnoy,RU,2021-03-06 08:40:45,68.0531,39.5131,9.39,93,86,12.5
16,Banjar,ID,2021-03-06 08:40:46,-8.19,114.9675,82.4,83,40,10.36
17,Palana,RU,2021-03-06 08:40:46,59.1167,159.9667,-22.72,90,19,4.0
18,Tortoli,IT,2021-03-06 08:40:46,39.9256,9.6572,55.4,88,40,17.27
19,Alofi,NU,2021-03-06 08:40:46,-19.0595,-169.9187,77.0,94,100,0.83
20,Busselton,AU,2021-03-06 08:40:47,-33.65,115.3333,77.0,77,100,1.99
21,Pangnirtung,CA,2021-03-06 08:40:47,66.1451,-65.7125,1.74,88,100,2.39
22,Coffs Harbour,AU,2021-03-06 08:40:47,-30.3,153.1333,72.0,68,90,9.22
23,Fonte Boa,BR,2021-03-06 08:40:48,-2.4959,-66.2662,70.09,98,48,3.09
24,Udachnyy,RU,2021-03-06 08:40:48,66.4167,112.4,0.57,90,100,10.42
25,Raudeberg,NO,2021-03-06 08:40:48,61.9875,5.1352,41.0,93,90,16.11
26,Tasiilaq,GL,2021-03-06 08:40:49,65.6145,-37.6368,24.8,86,90,42.57
